,Movie,Year,Time,Genre,Pick,Zach,Amin,Mayes,RT Crit,Crit #,RT Aud,Aud #,Combo,Sprd,Budget,Box Off WW,Cost,TM,Daisy Chain,Guest,P/P,Golden Dumpster,Z,A,M,Carl Weathers Memorial Ass OFF Award,Michael Biehn (Emilio Estevez) Ass ON Award,Louis Pinnock Accent Award,Five Horsemen,Rewatchingtons,"GD Nominees - Scene, Actor, Director or Moment",,,,,
76,Hercules in New York,1970,96,Fantasy Comedy,M,Phile,Phile,Phobe,17%,6,27%,5k +,44%,10%,"$300,000",???,PRIME,,,,,,Bear working the body during the fight,Dan LeBatard and the shipping container as the mob,Pretzie looking like a turtle,Arnold Stang as Pretzie,Deborah Loomis as Helen,Pretzie,Poppytalk,#10 Amin went from Phobe to Phile,,,,,,
77,Anaconda,1997,96,Adventure Horror,Z,Phile,Phile,Phile,37%,51,24%,250k +,61%,-13%,$45 Mil,$136.8 Mil,PRIME,,,,,,The snake puppet killing the panther puppet,Jon Voight killing Denise while tied up,Anaconda spitting the dead monkey into Westridge’s face,Jon Voight as Paul Serone,Vincent Castellanos as Mateo,Jon Voight Portugese,Voight's Faces,#19 Amin went from Phobe to Phile,,,,,,
78,Envy,2004,96,Dark Comedy,A,Phile,Phile,Phile,8%,118,27%,50k +,35%,19%,$40 Mil,$14.5 Mil,Cinemax,,,,,,Rachel Weisz foiling Ben Stiller,Flan Rant,“Good for you. Good FOR you.”,Jack Black as Nick Vanderpark,Maricela Ochoa as the vet Dr. Fernandez,,,,,,,,,
4/20,Half Baked,1998,96,Stoner Comedy,BON,Phile,Phile,Phile,29%,24,81%,100k +,110%,52%,$8 Mil,$17.5 Mil,$,,,,,,"Custodian, Dick!",Bob Saget - suck dick for coke,Jon Stewart ON WEED,Harland Williams as Kenny,Laura Silverman as Jan,,,,,,,,,
79,Hook,1991,96,Fantasy Swashbuckler Adventure,M,Phobe,Phobe,Phile,29%,65,76%,250k +,105%,47%,$70 Mil,$300.9 Mil,NF,,,,,,Thud Ball,,,Dustin Hoffman as Captain Hook,Amber Scott as Maggie Banning,,,,,,,,,
MK,Mortal Kombat: Annihilation,1997,97,Martial Arts Fantasy,BON,Phobe,Phile,Phobe,2%,43,25%,50k +,27%,23%,$30 Mil,$51.3 Mil,HBO,,,Mike Ryan,Phobe,Sheeva getting Wil E Coyote'd,Liu Kang look of disbelief at the candles,Jax beating the statue monster by repeatedly punching it in the ass,,Lynn ‘Red’ Williams as Jax,Sandra Hess as Sonya Blade,,,,,,,,,
80,Disclosure,1994,97,Erotic Thriller,Z,Phile,Phile,Phile,59%,61,40%,25k +,99%,-19%,$55 Mil,$214 Mil,$,,,Valerie Le Batard,Phobe,Douglas telling Demi to fuck those two champagne bottles in her fridge,Michael Douglas threatening to bang Chau Minh the housekeeper,,,Demi Moore as Meredith Johnson,Nicholas Sadler as Don Cherry,,,,,,,,,
81,Smokin Aces,2007,97,Action Thriller,M,Phobe,Phobe,Phobe,31%,159,62%,250k +,93%,31%,$17 Mil,$57.3 Mil,PCOCK,3/10,,,,,Dick Beaters,Beans adlibbing his entire role,Chris Pine holding Affleck's eyes open,Jason Bateman as Rip Reed,Jeremy Piven as Buddy ‘Aces’ Israel,,,,,,,,,
82,Armageddon,1998,98,Science Fiction Disaster,A,Phile,Phobe,Phile,38%,122,73%,250k +,111%,35%,$140 Mil,$553.7 Mil,AMC,,,,,,Space Dementia,Amin wanting Armageddon to actually happen,Space Dementia,John Mahon as Karl,Ben Affleck as AJ Frost,,,,,,,,,
83,Batman v Superman: Dawn of Justice,2016,98,Superhero,Z,Phile,Phobe,Phobe,29%,429,63%,100k +,92%,34%,$300 Mil,$873.6 Mil,HBO,,,,,,"Flash ""Am I too soon?""",,Martha,Laurence Fishburne as Perry White,Joe Morton as Dr. Silas,,,,,,,,,
MD,Delta Farce,2007,98,War Comedy,BON,Phobe,Phile,Phobe,5%,44,38%,100k +,43%,33%,???,$8.7 Mil,PCOCK,,,,,,Racism,R - Word,The Man with the Guitar,Keith David as Sergeant Kilgore,Bill Engvall as Bill Little,,,,,,,,,
84,Reindeer Games,2000,98,Action Crime Thriller,A,Phobe,Phile,Phobe,25%,88,27%,25k +,52%,2%,$42 Mil,$32.2 Mil,Para +,,,Valerie Le Batard,Phobe,Dart Scene,Don't play no reindeer games with me,Dennis Farina Coke AND Pepsi,Danny Trejo reading Business Week,Gary Sinise as Monster,Ben Affleck as Rudy Duncan,,,,,,,,,
85,Daredevil,2003,98,Superhero,A,Phobe,Phobe,Phobe,44%,229,35%,250k +,79%,-9%,$78 Mil,$179.2 Mil,$,1/10,,Erin Darling Torralva,Phobe,Back to Back Racist Jokes,Dante Jackson - Coolio,Favreau: Sanford & Son,The See-Saw fight,Colin Farrel as Bullseye,Ben Affleck as Matt Murdock,,,,,,,,,
86,Ghost Rider: Spirit of Vengeance,2011,98,Superhero,Z,Phile,Phobe,Phobe,18%,114,31%,100k +,49%,13%,$75 Mil,$132.6 Mil,HBO,,,,,,Cage interrogation Scene,Idris Elba’s accent,"“No, I get it. You’re the devil’s baby mama.”",Nicolas Cage as Johnny Blaze,Idris Elba as Moreau,,,,,,,,,
87,League of Extraordinary Gentlemen,2003,98,Dieselpunk Superhero,M,Phobe,Phobe,Phobe,17%,185,44%,250k +,61%,27%,$78 Mil,$179.3 Mil,PRIME,1/10,,,,,"""Not the whole thing""",,Dorian's tear away suit ripping off,Max Ryan as Dante,Terry O'Neill as Ishmael,,,,...,,,,,
FD,Daddy's Home 2,2015,98,Christmas Comedy,BON,Phile,Phobe,Phobe,21%,129,51%,10k +,72%,30%,$69 Mil,$180.6 Mil,FX,4/10,,,,,Friendzone Advice,Wahlberg - Ferrell Mirror Scene,Missile Tow,John Lithgow as Don,Alessandra Ambrosio as Karen,,,,,,,,,
88,Nick Fury: Agent of S.H.I.E.L.D.,1998,98,Superhero,A,Phobe,Phobe,Phobe,--%,2,15%,500+,,,$6 Mil,TV Movie,YouTube,,,,,,Amin thinking the Joss Whedon tweet was real,That's not how fevers work,Fury’s somersaulting entrance into Hydra’s control room,David Hasselhoff as Nick Fury,Sandra Hess as Andrea Von Strucker,,,,,,,,,
89,Blankman,1994,99,Superhero Comedy Parody,BON,Phile,Phile,Phobe,19%,16,41%,25k +,60%,22%,$30 Mil?,$7 Mil,$,,,,,,Damon Wayans Shriek,Slap me and call me Susan,Lieutenant CosDanza,David Allen Grier as Kevin Walker,Nick Corello as Sammy the Blade henchman,,,,,,,,,
FoJ,"The Goods: Live Hard, Sell Hard",2009,99,Comedy,BON,Phile,Phile,Phile,27%,103,37%,50k +,64%,10%,$10 Mil,$15.3 Mil,Para +,,,,,,Abe Lincoln jumping out of the plane making car jokes,,,Kathryn Hahn as Babs,Jeremy Piven as Don Ready,,,,,,,,,
90,Killing Season,2013,99,Action Thriller,Z,Phile,Phobe,Phobe,10%,20,29%,5k +,39%,19%,???,$1 Mil,PRIME,,,,,,Robert De Niro forgetting his accent,Serbian Cheers is Gigli,Travolta’s chinstrap beard,John Travolta as Emil Kovac,Milo Ventimiglia as Chris Ford,,,,,,,,,
91,Staying Alive,1983,99,Dance Musical,M,Phobe,Phobe,Phobe,0%,26,39%,10k +,39%,39%,$22 Mil,$127 Mil,HBO,,,,,,Frank Stallone jerkin his guitar around smirking,Bartender Sloppy Seconds Banter,"Travolta fighting gimp suits, tossing Laura out of the way, and doing an extended solo",Frank Stallone as Carl,Charles Ward as Butler,,,,,,,,,
92,Look Who's Talking Too,1990,99,Romantic Comedy,A,Phobe,Phobe,Phobe,14%,14,32%,100k +,46%,18%,???,$47.8 Mil,$,,,,,,Eat Me Raw,Same Note Too Baby,Cutting the sheets with scissors,Elias Koteas as Stuart,Neal Israel as Mr. Ross,,,,,,,,,
93,The Poison Rose,2019,99,Thriller,Z,Phile,Phobe,Phobe,0%,9,22%,100+,22%,22%,???,"$323,754",PRIME,,,,,,The Shovel Scene,,Carson aiming for the bushes,Brendan Fraser as Dr. Miles Mitchell,Ella Bleu Travolta as Becky,Brendan Fraser as Dr. Miles Mitchell,Film Noir,#7,,,,,,
NR,Space Jam: A New Legacy,2021,100,Live Action/Animated Sports Comedy,BON,Phobe,Phobe,Phobe,32%,157,81%,500 +,113%,49%,$150 Mil,TBD,HBO,,,,,,The Wrong Michael Jordan,Getting the Gang Together Montage,LeBron closing out on the force field,Don Cheadle as Al G Rithm,LeBron James as LeBron James,,,,,,,,,
94,Saving Silverman,2001,100,Romantic Comedy,M,Phile,Phile,Phile,19%,102,51%,50k +,70%,32%,$22 Mil,$26 Mil,Pluto,,,,,,Kumite judge screaming that the guy is dead,KG - Magic - Cha!,Coach Norton’s advice - Kill her,Amanda Peet as Judith Fessbeggler,Neil Diamond as Neil Diamond,,,,,,,,,
95,What Men Want,2019,100,Romantic Comedy,A,Phobe,Phile,Phobe,42%,146,33%,1k +,75%,-9%,$20 Mil,$72.2 Mil,$,,,,,,Cuck O’Leary wishing he’d fucked a black broad,,,Erykah Badu as Sister,Auston Jon More as Ben,,,,,,,,,
96,What Happens In Vegas,2008,100,Romantic Comedy,Z,Phile,Phobe,Phile,26%,133,65%,250k +,91%,39%,$35 Mil,$219.3 Mil,$,6/10,,,,,Rob Corddry and Lake Bell’s chemistry,Chonger,Rob Corddry and Lake Bell’s chemistry,Lake Bell as Tipper,Ben Best as Cab Driver,,,,,,,,,
97,Cocktail,1988,100,Romantic Comedy-Drama,M,Phile,Phobe,Phile,7%,44,58%,100k +,65%,51%,$20 Mil,$171.5 Mil,$,,,Mike Ryan,Phile,Coughlin's Law,Tossing a lit matchbook,Beach Rescue,Cell Block: Poetry Club,"Kenneth McGregor as Robert Powell, the Sculptor",Andrea Morse as Dulcy,,,,,,,,,
98,Futuresport,1998,100,Sports,A,Phobe,Phobe,Phobe,--%,4,23%,1k +,,,$9 Mil,TV Movie,Prime,,,,,,Speeding up the action to make it seem like something happened,Horny Edgar the voice assistant,Hatchet Jack's Prison Eyepatch,Wesley Snipes as Obike Fixx,Tara Frederick as Anarchy,,,,,,,,,
99,Passenger 57,1992,100,Action Thriller,Z,Phile,Phile,Phile,24%,25,38%,50k +,62%,14%,$15 Mil,$66 Mil,$,,,Roy Bellamy,Phobe,Always Bet On Black,,Beardless Zach Harper dying with his ass up,Everyone calling Wesley Snipes “brother”,Henry J McGauley as Store Hold-Up Man,Elena Ayala as Lisa Cutter,,,,,,,,,
100,Howard The Duck,1986,101,Science Fiction Comedy,Z,Phile,Phobe,Phobe,14%,81,38%,50k +,52%,24%,$37 Mil,$38 Mil,PCOCK,,,,,,Beastiality,Banter between Howard and Philsey the first time they meet,"“That’s a duck! That’s a duck, man!”",Jeffrey Jones as Dr. Walter Jenning,Howard the Duck,,,,,,,,,
101,Blade Trinity,2004,101,Superhero Action Horror,M,Phobe,Phile,Phile,25%,168,58%,250k +,83%,33%,$65 Mil,$132 Mil,HBO,,,JuJu Gotti,Phobe,Blade choked himself while meeting the group,Zach worked at Oakley,"Blade jumping onto a truck, falling onto a car, jumping back into the truck and driving out in a car",You got twenty seconds… Twenty - and then shoots the guy,Parker Posey as Danica Talos,Scott Heindl as Gedge,,,,,,,,,
102,Gallowwalkers,2012,101,Western Horror,Z,Phile,Phobe,Phobe,--%,4,11%,500 +,,,$17 Mil,Straight to DVD,PRIME,,,,,,Devil Voice,"Disembodied voice ""Get up you piece of shit""",The decapitated head flopping like a fish,Wesley Snipes as A Man,Tanit Phoenix as Damsel Titty Thief,,,,,,,,,
103,Road House,1989,101,Action,M,Phile,Phobe,Phile,40%,45,66%,50k +,106%,26%,$15 Mil,$30.1 Mil,STZ,,,StuGotz,Phile,Dalton running off the awning after the explosion,Tall guy dancing his ass off pool side,"""Sure as hell ain't gonna show you my dick""",The Jimmy-Dalton fight,Ben Gazzara as Brad Wesley,Kelly Lynch as Doc,,,,,,,,,
104,Bloodsport,1988,101,Martial Arts Action,A,Phile,Phile,Phile,40%,25,74%,50k +,114%,34%,$1.5 Mil,$50 Mil,HBO,,,,,,Young Frank Dux,Bolo revealing the bandana around his knee before the final fight,Bolo’s face when he stomps on Jackson’s face and taunting Frank with the bandana,Blood Boy with the Gold Tooth,Pierre Rafini as Young Frank,,,,,,,,,
105,Teenage Mutant Ninja Turtles lI: The Secret of the Ooze,1991,101,Martial Arts Superhero Comedy,Z,Phile,Phobe,Phobe,35%,43,67%,100k +,102%,32%,$25 Mil,$78.6 Mil,HBO,,,,,,It's Raph. A little too Raph.,Ninja Rap,,Donatello,Michelangelo,,,,,,,,,
106,American Ninja,1985,101,Martial Arts Action,A,Phile,Phobe,Phile,0%,7,47%,10k +,47%,47%,$1 Mil,$10.5 Mil,YouTube,,,,,,Colonel's lack of cheeks,Black Star Ninja’s flamethrower and laser wrist gizmos,,Steve James as Curtis Jackson - 50 Cent,Guich Koock as Col. William Thickock,,,,,,,,,
HW,Leprechaun in the Hood,2000,102,Black Comedy Slasher,BON,Phile,Phobe,Phobe,33%,9,32%,10k +,65%,-1%,$1.4 Mil,Straight to VHS,PCOCK,,,Brad Williams,Phobe,Blind Grandma cooking for the Leprechaun,Leprechaun knowing who Tiger Woods is,Blind Grandma cooking for the Leprechaun,Butch’s Douche & KY Jelly homemade explosive,Red Grant as Butch,Coolio as Coolio,,,,,,,,,
107,Eddie,1996,102,Comedy,Z,Phile,Phobe,Phobe,18%,34,36%,10k +,54%,18%,$30 Mil,$31.4 Mil,BOOT,,,,,,Olden Polynice explaining black holes,,,Greg Ostertag as Joe Sparks,Chris Berman as Himself,,,,,,,,,
108,Homie Spumoni,2006,102,Comedy,M,Phile,Phile,Phile,--%,2,25%,100 +,,,$2 Mil?,???,YouTube,,,,,,Italy flashback montage + Can't even drink water,,The Buddy (Joey Fatone) wheelchair reveal,Donald Faison as Renato / Leroy,Jamie Lynn Sigler as Ali,Donald Paisan,Bingo,#20 Faison took ass off,,,,,,
109,National Lampoon's Loaded Weapon I,1993,102,Parody,A,Phile,Phile,Phile,21%,34,49%,25k +,70%,28%,$8.2 Mil,$51 Mil,$,,,,,,Jon Lovitz repeatedly showing up,Basic Instinct Interrogation,Meecrofilme,Whoopi Goldberg as Sgt. Billy York,Marcus Lasher as Wes Luger at 12 years Old,,,,,,,,,
110,Sister Act 2: Back in the Habit,1993,102,Musical Comedy,M,Phobe,Phobe,Phobe,19%,37,61%,250k +,80%,42%,$38 Mil,$57.3 Mil,Disney +,,,,,,Slut shaming Sandra in Sex Ed,Whoopi failing to do the cross,Rita’s mom treating singing like it’s doing drugs,Whoopi Goldberg as Deloris,Sheryl Lee Ralph as Rita’s Mom,,,,,,,,,
TG,Jack and Jill,2011,102,Comedy,BON,Phobe,Phobe,Phobe,3%,116,36%,50k +,39%,33%,$79 Mil,$149.7 Mil,,,,,,,I can smell horny across the ocean,Shaq's Ham Commercial,Dunkacino Rap Commercial,Al Pacino as Al Pacino,Adam Sandler as Jack and Jill (2x),,,,,,,,,
111,Red Notice,2021,102,Action Comedy,A,Phile,Phile,Phile,36%,150,92%,100 + V,128%,56%,$200 Mil,Netflix,Netflix,4/10,,,,,The Rock’s Beastie Boys car chase getting interrupted by a Gelato Van,Niet Politsia,Vin Diesel’s audition tape for Cats,Ryan Reynolds as Nolan Booth,CGI Bull as a Bull,,,,,,,,,
112,3000 Miles to Graceland,2001,103,Black Comedy Crime,M,Phobe,Phobe,Phobe,14%,96,46%,50k +,60%,32%,$62 Mil,$18.7 Mil,$,,,,,,Ice T spinning around upside down like Jesus suspended from a rope shooting guns,,,Jon Lovitz as Jay Peterson,Courteney Cox as Cybil Waingrow,,,,,,,,,
113,Honest Thief,2020,103,Action Thriller,Z,Phile,Phobe,Phobe,39%,106,87%,1k + V,126%,48%,$30 Mil,$31.3 Mil,PRIME,,,,,,"""Wrong! You got it wrong!""",Bright Yellow Sweatshirt,Backing out of the driveway like Helen Hunt and smashing right into their car,,Liam Neeson as Thomas James Dolan,,,,,,,,,
114,Now You See Me 2,2016,103,Heist Thriller,A,Phobe,Phobe,Phobe,34%,197,53%,50k +,87%,19%,$120 Mil,$334.9 Mil,FX,,,,,,ThaddeusBradley.com,My namea Jack,"There were so many women, I have no idea whose bastard you are - Michael Caine",Woody Harrelson as Chase McKinney,Mark Ruffalo as Dylan Shrike,,,,,,,,,
PB,Jingle All The Way 2,2014,103,Christmas Comedy,PB,Phobe,Phobe,Phobe,--%,0,30%,250+,,,$5 Mil,Straight to DVD,Disney +,,,,,,Larry sneaking around the box warehouse,"I'm sorry sir, I can't read your handwriting","Filling a truck with snow, driving a hundred miles, and getting taken out by a tidal wave",Matty FInochio as Jeffrey,"Anthony ""Santino Marella"" Carelli as Claude",,,,,,,,,
NYE,200 Cigarettes,1999,103,Comedy,BON,Phobe,Phobe,Phile,30%,64,59%,25k +,89%,29%,$6 Mil,$6.9 Mil,BOOT,,,,,,Future Chappelle trans jokes,Cab ride between Janeane Garaofalo and Chappelle,"A stanky little ho maybe, but never a slut",Martha Plimpton as Monica,Brian McCardie as Eric,,Exposition,,,,,,,
,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Over The Top,1987,104,Sports Drama,Z,Phile,Phobe,Phobe,32%,31,49%,25k +,81%,17%,$25 Mil,$16 Mil,YouTube,,,StuGotz,Phile,Hat turn,Sly’s fingers over the thumb magical technique,Sly Stallone's Wardrobe,Sly’s fingers over the thumb magical technique,Robert Loggia as Jason Cutler,David Mendenhall as Mike Hawk,,Poppy Talk,,,,,,,
116,Rocky IV,1985,104,Sports Drama,M,Phile,Phile,Phile,39%,49,77%,250k +,116%,38%,$28 Mil,$300.4 Mil,HBO,,,StuGotz,Phile,Apollo / Drago fight & Training Montage,Apollo's reaction when the robot comes into the room,Throw the damn towel!,"If he dies, he dies",Carl Weathers as Apollo Creed,David Lloyd Austin as Fake Gorbachev,,Montage,,,,,,,
117,Cobra,1986,104,Action,A,Phile,Phile,Phile,18%,22,42%,25k +,60%,24%,$25 Mil,$160 Mil,$,,,StuGotz,Phile,The matchstick,Ingrid dousing her fries in ketchup,Car Chase - specifically spinning around to shoot the truck then spinning back,Ingrid’s photoshoot with a Robot in a fur coat - Pimpbot,Dorothy Meyer as Nurse #1,Brigitte Nielson as Ingrid Knudson,,Banter (it really should be Cobra Formula),,,,,,,
118,Rhinestone,1984,104,Musical Comedy,M,Phile,Phile,Phobe,14%,14,35%,5k +,49%,21%,$28 Mil,$21 Mil,BOOT,,,,,,Homie Spumoni Fist Bite,Guy giving thumbs up in the background when Stallone is talking about his organ,Drinkenstein song,Steve Peck & Penny Santon as Stallone's Parents,Jesse Welles as Billie Joe,,Tension,,,,,,,
119,Zookeeper,2011,104,Romantic Comedy,A,Phobe,Phobe,Phobe,14%,133,41%,25k +,55%,27%,$80 Mil,$169.8 Mil,HBO,3/10,,,,,Gorilla Night at TGI Fridays,Lion giving DENNIS System dating advice,Gorilla Night at TGI Fridays,Ken Jeong as Venom,Adam Sandler as the Monkey,,Manosphere,,,,,,,
120,Class Act,1992,104,Comedy,Z,Phile,Phile,Phile,17%,12,72%,5k +,89%,55%,$7.5 Mil,$13.2 Mil,$,,,,,,Blade teaching Duncan how to speak the language,Uncle Theophilus? You got your hearing aid?,See ya later Datitty!,Doug E Doug as Popsicle,Pauly Shore as the Wie-zel,,20CB,,,,,,,
121,The Five Heartbeats,1991,104,Musical Drama,M,Phile,Phile,Phile,39%,18,95%,10k +,134%,56%,$8.7 Mil,$8.75 Mil,$,,,Roy Bellamy,Phile,Bird's pants ripping before he gets dangled over the balcony,Dirty mackin instead of shy brother / Dirty mackin at the funeral,The Five Horsemen and all the callbacks,,Michael Wright as Eddie,Roy Fegan as Bird,,Flashback,,,,,,,
PB,Abraham Lincoln: Vampire Hunter,2012,104,Supernatural Horror Action,PB,Phile,Phobe,Phobe,34%,194,50%,100k +,84%,16%,$99.5 Mil,$116.4 Mil,PRIME,,,,,,The Horse Stampede,"Abe running up the wall, doing a spin and killing two vampires with one swing.",Mary Todd using the hat as a step stool,Dominic Cooper as Henry Sturgess,Benjamin Walker as Abraham Lincoln,,Filters,,,,,,,
122,A Low Down Dirty Shame,1994,105,Action Comedy,A,Phile,Phile,Phile,0%,21,71%,25k +,71%,71%,$10 Mil,$29.4 Mil,PRIME,,,,,,Kneels down and crosses his guns across his body,Chris Spencer policeman scene,Short Dick Man song / Wayman Bingo chant combo,Charles S Dutton as Sonny,Keenen Ivory Wayans as Shame,,20CB,,,,,,,
123,Belly,1998,105,Crime Drama,Z,Phile,Phile,Phobe,16%,19,87%,25k +,103%,71%,$3 Mil,$9.6 Mil,STARZ,,,,,,When's the last time you read a book? Never motherfucker!,"Nas ""Me and Bundy, Buns that is, or Tommy for short""",Shorty can’t eat no books,Tyrin Turner listed as Big but as Rico,Dr. Benjamin Chavis as The Minister,,Slow Motion,,,,,,,
124,The Master of Disguise,2002,105,Adventure Comedy,M,Phobe,Phobe,Phobe,1%,104,35%,50k +,36%,34%,$16 Mil,$43.4 Mil,HBO,,,,,,The supercharged picture Amin sent to the chat,Scooby Doo is CGI? Henchmen,Turtle,Mark Devine as Trent,Dana Carvey as Pistachio Disguisey,,Turn of the 20CB,,,,,,,
125,The Golden Child,1986,105,Dark Fantasy Comedy,A,Phile,Phile,Phobe,22%,23,47%,50k +,69%,25%,$24.5 Mil,$149.4 Mil,Hulu,,,,,,Mel Bachman’s Journal on Cable Access,"I should be arrested, I should be purged, I should be flogged",Mel Bachman’s Journal on Cable Access,Eddie Murphy as The Golden Child,The colorful bird - Australian Eastern Rosella,,They Said It,,,,,,,
126,White Man's Burden,1995,106,Drama,Z,Phile,Phobe,Phobe,24%,34,36%,5k +,60%,12%,$7 Mil,$9 Mil,BOOT,,,,,,"Yeah, I’m horny too baby",Harry Belafonte realizing Don said Black Hawk not Black Cock,"At night, they all think we look like ghosts, man. Just ghosts out here glowin in the dark",John Travolta as Louis Pinnock,Charles and the girl with the gun,,20CB,,,,,,,
127,The Watcher,2000,106,Thriller,A,Phobe,Phobe,Phobe,11%,92,28%,10k +,39%,17%,$33 Mil,$47.3 Mil,HBO,,,,,,Keanu head turn in the therapy scene,Spader passed out in the fridge,Choker girl choosing to be homeless and “spare-changing”,Chris Ellis as Detective Hollis,James Spader as Joe Campbell,,Exposition,,,,,,,
128,Left Behind,2014,107,Apocalyptic Thriller,Z,Phobe,Phobe,Phobe,0%,69,2%,10k +,2%,2%,$16 Mil,$27.4 Mil,PRIME,,,,,,"I'm scared, aren't you? I will be... As soon as I have time.",Martin trying to put the pen back in his pocket and failing,Listen to you. Why should I? You didn’t even listen to you. - Chloe to the preacher,Nicolas Cage as Capt Rayford Steele,Major Dodson as Raymie Steele,,Film Noir,,,,,,,
129,Deadfall,1993,107,Crime Drama,M,Phile,Phobe,Phile,0%,5,26%,1k +,26%,26%,$10 Mil,"$18,369",Redbox,,,,,,Doc Lyme’s Claw Arm,Lou Donan being black,Sam… fuckin… peckinpahhhhh,Nicolas Cage as Eddie,Michael Biehn as Joe,,Narration,,,,,,,
130,Bangkok Dangerous,2008,107,Action Thriller,A,Phile,Phobe,Phobe,9%,94,26%,100k +,35%,17%,$45 Mil,$42.5 Mil,Tubi,,,,,,Nic Cage's Wig,Nic Cage kills two random muggers behind ear blind pharmacist's back and she has no idea,The note that says “I am happy together with you”,Nicolas Cage as Joe,Nirattisai Kaljareuk as Surat,,Narration,,,,,,,
131,National Treasure: Book of Secrets,2007,107,Action Adventure,,Phile,Phobe,Phile,36%,130,67%,250k +,103%,31%,$130 Mil,$459.2 Mil,Disney +,5/10,,,,,Cage making a scene at Buckingham Palace,Ed Harris leaning forward and cupping his ear while eavesdropping,Cage using a red light camera to take a picture,Helen Mirren as Emily Appleton,William Brent as Charles Gates,,Exposition,,,,,,,
132,"Dude, Where's My Car?",2000,107,Stoner Comedy,M,Phobe,Phobe,Phile,17%,58,47%,250k +,64%,30%,$13 Mil,$73.2 Mil,$ / DVD,,,,,,Andy Dick - Freakincage.com,"I wanna go on that ride daddy - So do I son, so do I",Tattoo Scene,Kutcher & Stifler as Jesse & Chester,Charlie O’Connell as Tommy,,Exposition,,,,,,,
133,Taxi,2004,108,Action Comedy,A,Phobe,Phile,Phobe,9%,106,43%,100k +,52%,34%,$25 Mil,$70.8 Mil,$,,,,,,The Opening Scene complete with Film Noir Queen Latifah reveal,,,Ann-Margret as Mrs. Washburn,Jimmy Fallon as Andy Washburn,,Exposition,,,,,,,
134,Soul Plane,2004,108,Comedy,Z,Phile,Phile,Phile,18%,101,51%,50k +,69%,33%,$16 Mil,$14.8 Mil,PRIME,,,,,,Mo'Nique being Mo'Nique,Witherspoon fingerblasting a baked potato,Mo’Nique hating on short kings and calling one guy 5 cent,Gary Anthony Witherspoon as Blind Flame,Karl Malone as Karl Malone,,Turn of the 20CB,,,,,,,
135,Maximum Overdrive,1986,108,Comedy Horror,G,Phile,Phile,Phobe,15%,13,50%,25k +,65%,35%,$9 Mil,$7.4 Mil,$,,,Michelle Beadle,Phile,Wanda June yelling WE MADE YOU at the trucks,Willem DeTow - The Green Goblin Truck,American Express cards joke - Emilio laughing at his own joke,Interstellar House Cleaners monologue,Yeardley Smith as Connie,Laura Harrington as Lady Brett,,Cocaine,,,,,,,
136,Ghosts of Girlfriends Past,2009,108,Romantic Comedy,A,Phobe,Phobe,Phobe,28%,144,40%,250k +,68%,12%,$37.5 Mil,$102.4 Mil,HBO,1/10,,,,,Michael Douglas' Dating Advice,"Grab some daisies, ""I'm a bingo, let's be friends""","You are woman hater, Connor Mead hates womans",Emma Stone as Allison Vandermeersh,Logan Miller as Teenage Connor,,Misogyny,,,,,,,
